transaction_id,date,region,city,merchant_id,merchant_category,channel,payment_method,customer_segment,acquisition_source,device_type,amount_kzt,is_refunded,is_canceled,delivery_time_hours,suspicious_flag
1,2024-01-01,Aktobe,Shymkent,4116,retail_fashion,offline_pos,qr_kaspi,salary_worker,instagram,android,24227.38,0,0,,0
2,2024-01-01,Pavlodar,Kostanay,3343,food_delivery,social_media,qr_kaspi,entrepreneur,organic,web,5026.18,0,0,1.0,0
3,2024-01-01,Shymkent,Pavlodar,4388,digital_services,social_media,qr_kaspi,salary_worker,tiktok,unknown,11655.14,0,0,,0
4,2024-01-01,Oskemen,Taraz,4377,grocery,online_store,card_kz,salary_worker,google_ads,ios,5175.32,0,0,9.3,0
5,2024-01-01,Oskemen,Pavlodar,1660,food_delivery,online_store,card_kz,student,instagram,android,2926.42,0,0,10.5,0
6,2024-01-01,Aktobe,Almaty,2453,ecommerce_general,online_store,card_kz,entrepreneur,offline,ios,12803.78,0,1,12.3,0
7,2024-01-01,Kostanay,Aktobe,3248,ride_hailing,mobile_app,card_kz,salary_worker,tiktok,android,5822.4,0,0,2.5,0
8,2024-01-01,Atyrau,Astana,2688,grocery,online_store,qr_kaspi,unknown,instagram,web,5151.67,0,0,6.2,0
9,2024-01-01,Atyrau,Astana,3253,education_services,mobile_app,card_intl,retired,google_ads,web,10751.09,0,0,23.8,0
10,2024-01-01,Atyrau,Almaty,2267,ride_hailing,mobile_app,wallet,student,marketplace,android,5109.83,0,0,2.2,0
11,2024-01-01,Almaty,Shymkent,2920,ride_hailing,social_media,card_kz,salary_worker,tiktok,ios,4915.97,0,0,,0
12,2024-01-01,Kostanay,Shymkent,1817,ecommerce_general,social_media,card_kz,retired,organic,android,10418.12,0,0,,0
13,2024-01-01,Aktobe,Atyrau,4338,retail_fashion,marketplace,qr_kaspi,unknown,marketplace,ios,8268.84,0,0,15.1,0
14,2024-01-01,Oskemen,Karaganda,3407,ride_hailing,online_store,wallet,entrepreneur,organic,android,6071.98,0,0,0.7,0
15,2024-01-01,Astana,Oskemen,4298,healthcare_services,marketplace,qr_kaspi,salary_worker,organic,web,20376.94,0,0,1.2,0
16,2024-01-01,Almaty,Oskemen,3018,electronics,social_media,qr_kaspi,entrepreneur,tiktok,web,17737.32,0,1,,0
