transaction_id;date;region;city;merchant_id;merchant_category;channel;payment_method;customer_segment;acquisition_source;device_type;amount_kzt;;;;
1;2024-01-01;Aktobe;Shymkent;4116;retail_fashion;offline_pos;qr_kaspi;salary_worker;instagram;android;24227.38;;;;
2;2024-01-01;Pavlodar;Kostanay;3343;food_delivery;social_media;qr_kaspi;entrepreneur;organic;web;5026.18;;;;
3;2024-01-01;Shymkent;Pavlodar;4388;digital_services;social_media;qr_kaspi;salary_worker;tiktok;unknown;11655.14;;;;
4;2024-01-01;Oskemen;Taraz;4377;grocery;online_store;card_kz;salary_worker;google_ads;ios;5175.32;;;;
5;2024-01-01;Oskemen;Pavlodar;1660;food_delivery;online_store;card_kz;student;instagram;android;2926.42;;;;
6;2024-01-01;Aktobe;Almaty;2453;ecommerce_general;online_store;card_kz;entrepreneur;offline;ios;12803.78;;;;
7;2024-01-01;Kostanay;Aktobe;3248;ride_hailing;mobile_app;card_kz;salary_worker;tiktok;android;5822.4;;;;
8;2024-01-01;Atyrau;Astana;2688;grocery;online_store;qr_kaspi;unknown;instagram;web;5151.67;;;;
9;2024-01-01;Atyrau;Astana;3253;education_services;mobile_app;card_intl;retired;google_ads;web;10751.09;;;;
10;2024-01-01;Atyrau;Almaty;2267;ride_hailing;mobile_app;wallet;student;marketplace;android;5109.83;;;;
11;2024-01-01;Almaty;Shymkent;2920;ride_hailing;social_media;card_kz;salary_worker;tiktok;ios;4915.97;;;;
12;2024-01-01;Kostanay;Shymkent;1817;ecommerce_general;social_media;card_kz;retired;organic;android;10418.12;;;;
13;2024-01-01;Aktobe;Atyrau;4338;retail_fashion;marketplace;qr_kaspi;unknown;marketplace;ios;8268.84;;;;
14;2024-01-01;Oskemen;Karaganda;3407;ride_hailing;online_store;wallet;entrepreneur;organic;android;6071.98;;;;
15;2024-01-01;Astana;Oskemen;4298;healthcare_services;marketplace;qr_kaspi;salary_worker;organic;web;20376.94;;;;
16;2024-01-01;Almaty;Oskemen;3018;electronics;social_media;qr_kaspi;entrepreneur;tiktok;web;17737.32;;;;
17;2024-01-01;Oskemen;Oskemen;2553;electronics;online_store;qr_kaspi;salary_worker;instagram;web;25673.14;;;;
18;2024-01-01;Pavlodar;Atyrau;1220;retail_fashion;marketplace;card_kz;salary_worker;offline;ios;8811.33;;;;
19;2024-01-01;Karaganda;Atyrau;3634;grocery;online_store;cash;salary_worker;instagram;ios;7454.91;;;;
20;2024-01-01;Astana;Shymkent;1436;electronics;social_media;card_kz;salary_worker;referral;ios;20298.97;;;;
21;2024-01-01;Karaganda;Taraz;2862;education_services;offline_pos;qr_kaspi;retired;marketplace;web;6231.44;;;;
22;2024-01-01;Taraz;Taraz;3975;education_services;social_media;card_kz;student;tiktok;web;12786.22;;;;
23;2024-01-01;Karaganda;Almaty;3475;travel;offline_pos;qr_kaspi;retired;google_ads;ios;14576.14;;;;
24;2024-01-01;Atyrau;Oskemen;3857;ecommerce_general;social_media;card_kz;student;instagram;ios;15044.68;;;;
